reviews,category
   한국어교원자격증 수업을 듣고 있는 수강생입니다       여러 교육원과 비교해봤을 때 강의 내용도 좋고 플래너님들께서 친절하셨습니다         강의 자료를 프린트하여 동영상 강의를 보며 메모하면서 공부했습니다       한울만 믿고 따라오면 될 것 같아요     한국어교원자격증을 따서 한국어 교사가 되겠습니다       ,academic credit
  안녕하세요 이번에 사회복지사 급을 듣고있는 조성윤입니다    우선 취업에 유리한 자격증 과정이 다 있는것 같아서 만족합니다       동영상을 보면서 필기를 하면서 하는중입니다         한울과 함께라면 잘 될것같아요 다들 힘내요    사회복지사로서 자격을 갖추고 묵묵히 걸어갈게요        감사합니다 한울 화이팅입니다,academic credit
    살 경기 남           먼저 실습을 마치고 사회복지사를 취득한 와이프 강력 추천      주말마다 열공하기      지금도 늦지 않았어요   모두들 화이팅 하세요      겨울부터 공사시작하여 이 어려운 시국에 주간보호센터를  오픈 한 와이프에게 조금이나마 도움이 되고 싶네요         ,academic credit
보   복지직   복지직 공무원 준비하는 사람입니다          비용이 저렴해서 좋습니다      선택과목으로 사회복지론을 선택했습니다 조정점수에서 깎이는 점수가 상대적으로 적다고 해서 선택했고 동영상 강의 수강 내용이 많이 나옵니다      우리사회가 꼭 필요로 하는 복지사가 되시길 바라며 음지에서 일하고 양지에서 인정 받는 사람이 되시길      복지직 공무원 되는 것이고 평범하게 법 규정 절차 지키며 살고 싶습니다        ,academic credit
      안녕하세요    살 여군부사관으로 복무중인 사람입니다       우선 가격이 너무 저렴한데 그에 맞는 강의 퀄리티는 정말 상당합니다  너무 행복했습니다       퇴근하고 집에서 한시간 두시간씩 투자했어요    하고싶었고  관심갖은 만큼 집중력에 도움이 된 것 같습니다       배운다고 생각하고 이곳에 검색을해서 들어온 것 까지 후배님들은   프로 이상 성공하신 겁니다 꼭 꿈을 다 이루셨으면 좋겠습니다       직장생활하며 사회학개론 공부가 너무 중요하다고 느껴 추가적으로 더 배웠습니다  더 나은 군 생활하며 훌륭한 상사가 되고싶습니다            ,academic credit
    대중후반을 달리고있는 아이엄마 입니다           늦게라도 자격증 도전해 보고 싶었어요  친구도 작년에 한울을 선택해서 취득했더라구요 믿음이 갔습니다            다함께 화이팅해요      사회에 봉사도 많이하고 누 군가에게 도움의 손길이 되고 싶어요        ,academic credit
    시작은  년전이지만  한국어 교원을 시작할지 말지에 대한 고민은 사실    년 전입니다    어디에서 공부를 시작할지 여기저기 알아보긴 했지만  막상  년 또는  년 반이라는 시간을   포기하지 않고 할 수 있을까 하는 의구심 때문에 시작을 주저하고 있었습니다    이렇게 시간만 보내다가  그냥 한번 질러보자 는 심정으로 한울을 선택했습니다        사실 한울의 시스템을 경험해 보지 않은 이상 한울이 뭐가 좋은지 잘 몰랐습니다   하지만 한가지 한울로 결정을 하게 한 것은 경쟁력 있는 수강료였습니다   그런데   년반 동안의 공부를 마치고  학위를 따게된 지금은 확실히 말할수 있겠어요  한울의 꼼꼼한 학사 관리와 시스템  우수한 교수님들의 강의    제 학습 플래너님은 김지은 선생님이었는데  바쁜 회사생활동안 놓치기 쉬운  학습관리  시험일정등을 너무나도 잘 챙겨주셨어요   또한 마지막 관문인 실습과정 준비에서도 수업참관 기간에 대해 실시간으로 정보를  공유해 주셔서 무사히 학위를 취득할 수 있었습니다    최근에 더  감동 받은 일이 있어  지금 여기에 이렇게 글을 남깁니다    학위 신청을 하는것 까지는 알고 있었는데  학위 신청후 자격증 취득에 대한  절차도 메신저로 알려주시더라고요   저는  월에 자격증까지 받을 수 있게 되었습니다    사실 수강생 입장에서는 수업 다 들으면 끝나는줄 알았는데  한울은 그게 아니더라고요  수강이 다 끝나도   마지막 자격증 취득까지 꼼꼼히 챙겨 주시는 한울의 시스템   김지은 선생님의 세심한 배려에 다시 한번 감사드립니다    한울  정말 선택하길 잘 했네요   한국어 학사  교원 자격등 취득    정말 저한테 칭찬해 주고 싶습니다                             ,academic credit
    개월 아이를 양육 중인 육아맘입니다  학사  석사까지 공부했지만  육아로 인해 집에서 아이와 씨름한지   개월째입니다            대학친구가 아이를 양육하면서 먼저 사회복지사 과정을 공부하고 자격증 취득한 것을 보고 추천받아 선택하고 도전하게 되었습니다  다른 곳도 추천 받았는데 비교해보고 이 곳을 선택했어요  문자로 관리해주시고 공부하게 이끌어주셔서 집에서 혼자 하는 공부지만 수월하네요   강의도 재밌고  유익해요  나이가 좀 들어서 공부하니 더 이해가 쉽게 가기도합니다       밀리지 않고 강의가 열렸다는 문자를 받으면 틈 나는대로 수강을 합니다             열심히 성실하게 공부해서 자격증취득하는 것이 가까운 목표이고  그 자격증을 활용하여 사회의 복지에 기여하는 사람이 되는 것이 꿈입니다           ,academic credit
   저는 현재   살 직장인입니다  전문대를 졸업하고 현재 직장에서  년차 일을 하고있습니다  그러나 초대졸과 대졸에서의 승진에서의 차이를 절박하게 느끼게 되어 학점은행제를 알아보고 시작하게 되었습니다       여러 매체 및 검색을 많이 해보았고  후기들을 종합한 결과 한울이 가장 낫다는 판단이 들어 수강을 시작하게 되었습니다  터무니없는 광고로 들어가보면 오히려 더 비싸지거나 맞지않는 곳이 많았고  어떻게 시작해야할 지 전혀 모르는 상태에서 한울에서는 전화 한 통으로 수강시작과 함께 저렴한 가격으로 이용할 수 있다는게 큰 장점인 것 같습니다       저같은 경우는 인강이나 미디어매체만 봐서는 집중이 잘 되지를 않습니다  그래서 항상 자료실에서 관련    자료를 다운받아서 켜놓고 메모 및 필기를 하면서 공부를 하고 있습니다  그러다보니 복습이나 잘 기억이 나지않을 때에는 필기한 자료를 보면서 공부할 수 있어 좋습니다       저는 제가 늦었다고 생각했습니다  그러나 막상 와보니 공부에는 나이가 없다는 거를 보여주시는 분들을 보고  아 지금 늦었다고 생각할 때가 가장 빠른순간이다 를 느끼며 열심히 공부에 임하고 있습니다  항상 할까말까  내가 해도 될까  내가 할 수 있을까  이런 고민하기전에 시작을 먼저하세요  분명히 이루는 바를 잡을 수 있을 것 같습니다  저도 매일 같이 퇴근하고 수강을 하려니 쉽지가 않습니다  그러나 어느 덧 매일같이 빠지지않고 듣고 있는 제 자신을 발견하게 되었고  시간이라던가 여유라던가 배움앞에서는 절대 변명이 필요없다는 것을 명심했으면 좋겠습니다       먼저 학사학위를 취득하여 회사내에서의 승진목표에 좀 더 다가가고  사회복지자격을 취득하여 제 의 인생을 설계하는 것이 목표입니다  요즘 같은 시대에 뭔가를 계속 할 수 있다는 것은 축복받은거고 그 축복은 스스로가 만들어감을 느낍니다  제 의 인생에는 큰 꿈인 센터설립까지도 있습니다  한울을 통해 꿈에 한걸음 다가가는 단계가 될 것 입니다       ,academic credit
    결혼후에 육아 때문에 다니던 회사를 그만두고 애 세명을 키우고 있는   살의 평범한 아줌마입니다      여러 교육센터를 알아보고 상담받아 봤는데 플래너님의 친절하신 설명과 함께 개강 후에 공부하는 동안 문자로 미리 알려주신다는 방법이 마음에 들었습니다   일상생활을 하면서 애들을 챙기고 하다보면 중간고사나 과제제출 날짜를 다 기억못하고 놓칠 수도 있는데 미리미리 알려주시는 방법이 마음에 들었습니다       애들이 있어서 주로 애들이 자는 밤에 강의를 듣고 있습니다   모바일로 강의를 들으면 집중해서 들을 수 있어서 하루에  강의씩은 꼭 들을려고 합니다       저도 처음에는 하고 싶은 마음만 가지고 할까말까 많이 고민하고 생각했는데 고민만 하면서 시간을 보내기에는 너무 아깝다는 생각이 들었습니다   그래서 시작하고보자는 생각으로 결정을 했는데 잘했다는 생각이 듭니다       강의를 열심히 들어서 꼭 멋진 사회복지사가 되어서 현장에서 일을 하고 싶습니다   나아가서 사회복지사  급도 공부해서   대에는 제 의 직업으로 삶을 살고 싶습니다   누구누구의 엄마가 아니라 제 이름을 걸고 멋지게 살고 싶습니다         ,academic credit
   한국방송통신대학교 교육학과  학년에 재학중이며   한울원격평생교육원에서 사회복지법제를 공부하는 사십대 병아리 아줌마 입니다        진작에 한울을 알았더라면     하는 아쉬움이 있을 정도로  지난 여름에 급한 마음에  다른 원격교육기관에서 사회복지사   과목을 공부한 경험이 있기에  한울원격평생교육원의 장점을   더 잘 알고 있습니다  한울을 선택한 가장 큰 이유는   사회복지법제 과목을 제가 원하는 날짜에 가장 빨리 수강할 수 있었기 때문이고   체계적인 커리큘럼과 맛보기 강의를 들어봤을 때  교수님의 강의에 임하는 태도가 맘에 들었습니다   다른 과목은 안들어 봐서 잘 모르겠지만  어려운 법제용어을 이해하기 쉽게   일상에서 적용할 수 있는 적절한 예시를 통해 학습자에게 본인의 모든 노하우를 전수하고  싶어하는 마음이 전해졌다고나 할까요    혼자서 두어달 이상을  인강을 들으며 공부해야 하는데   복잡한 일과 중에 놓치기 쉬운 강의 스케쥴도 문자로 친절히 알려주고   로그인 할때 마다 짧은 메시지로 감동을 주는 한울  앞으로 사회복지사 과목 뿐만 아니라  평생교육생으로서 다른 공부하고 싶은 과목들도 이곳 한울과 함께 하려는 의지가 샘솟고 있는 중입니다       대학교 학년  중학교  학년에 다니느 두 아들과 공무원 남편을 챙기다 보니   아침식사 준비를 일찍 해야 한답니다  새벽  시에 일어나서  한시간 정도 편한 마음으로 인강으로 워밍업 하듯 공부한 후에   세 남자들이 모두 나간 오후 시간에 새벽에 들었던 인강과 함께 미리 프린트 해두었던 교안을 펼쳐놓고  교수님이 강조하는 부분은 깨알같이 메모도 해가며 집중 학습을 합니다  새벽에 편하게 들은 내용을 오후에 반복해서 들으며 교안과 함께 필기하며 공부하다 보면  어려운 법제용어가 어느새 친숙해져 오고 있답니다   강의 시작 전 문제풀기와 강의 끝나고 두  세문제 퀴즈를 놓치면 절대 안되구요   교수님이  마지막에 요점정리를 해주시면 그것 또한 한장씩 프린트 해서 시험대비 하고 있습니다        한울원격평생교육원에서 공부를 하려면  하루 중에 나만의 공부하는 시간을 정해서 반드시 지켜야 할 것 같아요  하루 하루 미루다 보면  쪽지시험  토론  과제  중간고사  기말고사가 줄지어 있는데 막막하지 않을까요  혼자하는 공부인 만큼  혼자만의 계획을 철저히 세워서 모두가 원하는 목표를 꼭 이루시길 바랍니다  홧팅          방송대 교육학과에서 배운 지식과 한울에서 배운 지식을 합하여 사회복지사자격증을 취득함이 첫째 목표이고  사회복지사 활동을 하되  장애인 관련 기관에서 활동을 하며 기관에서 필요로 하는 프로그램도 직접 만들어 보며 이 사회에서 필요로 하는 인재가 되고 싶습니다         ,academic credit
   안녕하세요    살    개월 차 신입 직장인입니다  언어전문학사 영어 로 졸업해 관련 업무 보고 있습니다  자기개발에 관심이 많아 학점은행제로 언어학사 학위를 얻을 순 없는가 해서 평생교육원을 찾아보게 되었어요  그런데 온라인 수강으로는 언어학사는 선택지에 없더라고요   그 다음으로 관심이 있던 무역도 온라인으로는 찾아보기 힘들었지만 경영쪽에 무역 강의가 더러 있길래 경영에 대해 궁금하기도 했고  경제경영쪽으로 배워놓으면 앞으로 살아가면서 도움이 될 게 많을것 같아 시작하게 되었습니다         우선 평생교육원을 정하기로 마음 먹고 검색해봤을때 뜬 한울  한 강의당      원이라는 문구에 끌리지 않을 수 없었습니다    첫 도전으로 부담스럽지 않은 메리트 있는 가격에 강의 체험조차 해보지 않고 수강신청했어요  수업이 어떻게 진행되는지는 직접 해보면서 알게 되었어요  우선     강의 교재가  어져서 공부하기에 굉장히 편리하더라고요  자체 어플도 있어서 모바일 수강하기에 무리도 없구요  시작한지 얼마 안 되었지만 지금까지 굉장히 만족하고 있습니다       저는 강의 듣기 전에 예습 먼저 하고있는데요      교재에 예습하면서 기억해둘 것을 형광펜으로 표시해 둡니다  강의때 선생님이 표시해 주시는 것과 겹치지 않기 위해 다른 색으로요  강의를 다 들은 후에는 복습을 하는데  예습 강의 복습 순으로 공부를 하다보니 점점 머릿속에 자동으로 메모리되는 것들도 많고  점점 빠르게 훑을 수 있더라구요  아마 제 공부 방법은 다른 분들과 별로 큰 차이가 없을것 같네요         저도 시작한지 얼마 된 게 아니라서 조언할 건 없는것 같아요  저는 자기개발 목적으로 강의를 듣고 있는 것이라 차근차근 해보려고 합니다  하고 싶은 공부  궁금했던 분야 위주로 배워나가려고 해요  하고 싶고 배우고 싶은게 있다면 짧은 시간에 이루려 하지 마시고 기억속에 오래 남도록 차근차근 해 나가심이 좋을것 같네요    저와 같은 분들 좋은 성취 하셨으면 좋겠습니다       경영전문학사 학위  그리고 경영학사 학위까지 해보려고 합니다  그리고 그 다음에는    나  다른 직업 공부도 생각 중입니다    우선  제가 경영학사 학위를 얻을 때쯤엔  영어 말고도 지금 공부중인 언어도 능숙하게 할 줄 알게되면 좋겠네요  꾸준히 하면 되겠죠  우리 모두 계획하시는거  꿈꾸시는거 실천해서 전부 이루도록 합시다  감사합니다         ,academic credit
