reviews,category
저는 금년   세 입니다    직장에서 은퇴한지 여러 해 되었고  은퇴후 대부분의 퇴직자와 마찬가지로 건강을 위하여 둘레길을 돌고  등산도 가면서 중국어를 배운다  하모니카를 배운다 하면서도 친구들과 유대 관계를 소홀히 하지 않으려고 자주 모임에도 참석하며 나름 바쁘게 보내고 있었지요   작년 년말 모임에서 후배 하나가 공인중개사 시험에 합격 하였다는 말을 듣고  나도 한번 도전을 해 보자는 마음으로 금년 초 해커스 인강에 등록하고 공부하기 시작 했습니다   중개사 공부를 하면서 모든 과목들이 이제까지 접해 보지 않은 것들 이라서 생소하고 여러움을 느꼈지만  실 생활에 도움이 되는 새로운 지식을 얻는다는 만족감에 집중하고  공부에 몰두 할 수 있었으나  나이가 나이인만큼 책만 덮으면 하나도 기억에 남지 않는 듯한 느낌을 여러번 느꼈습니다   매년 구청에서 지원해 주는 치매 검사도 받고 있는 처지인지라  항상 치매는 아니라는 판정을 받지만  기억력이 예전과는 비교 할 수 없을 만큼 떨어진 것은 스스로 느끼고 있지요     이러한 나의 상황에서 엄청난 분량의 교재를 기억하고 시험을 본다는 것은 불가능한 상황    결국 나에게 맞는 공부 방법을 여러날 고민 하다가    월 핵심 요약집 보다 더 축소한 나 만의 엑기스 요약집을 만들기로 하고  만일 시험이 이 핵심 요약집을 벗어나 출제 되면 그 문제는 포기 하자는 작전을 세웠습니다   시중에서 핸드폰 크기의 노트 수첩 여러개를 구입하여  각 과목 별 인강 교수님들이 중요하다고 강조하는 내용을 순차적으로   표도 해 가면서 요약집을 썼고  그 수첩들은 항상 하나씩 집에서도  여행 갈때도  지하철을 타고 갈 때도  모임을 기다릴 때도 반복  반복 하며 읽고  한번은 파란 색 펜으로  다음엔 붉은 색 펜으로  그 다음엔 형광 펜으로 더 중요 부분을 마크하며 최소한도 중요한 줄거리는 기억하여 놓치지 않으려고 노력 했습니다    오랜 은퇴 기간 동안 익숙한에서 벗어난 책상 앞에 오래 앉기가 버거운 상황에서 수시로 시간이 날 때마다 꺼내어 보는 나의 요약 수첩은 나에게 든든한 구원군이 되었지요    덕분에 중개사 시험에서 어느 한 과목 고득점은 얻지 못하였어도  대부분의 과목이 가까스로   점 이상을 기록하여 동차 합격 통지를 받았습니다    이  권의 수첩은 아마도 항상 내 곁에서 또 기억이 떨어지면 기억력을 보충 해 주는 역할을 하겠지요    해커스의 인터넷 강의의 전문성과 교수님 들의 명 강의에 감사와 찬사를 올립니다 ,real estate agent
안녕하세요  저는 지금 막 두돌이 지난 아기를 키우고 있는 전업주부입니다  합격발표는 아직 나오지 않았지만 가채점상 예상합격이라 수기 올리려고해요       년   월말에 아기 태어나고 집에서 아기와 둘이 보내는 시간이 좀 뭐랄까  아까웠다고 해야할지  그냥 또다른 산후우울증이었는지 모르겠지만  뭔가 나에게 도움되는 것을 해보자 해서 시작하게되었어요   우선 저는 그냥 공략적으로  년을 계획했구요  첫해     년에는  차 공부     년에는  차 공부만을 중점적으로 해보자했구요       년   회차에는 동차시험을 우선 기본으로 두고  차 차과목 전부의 강의를 들었고 마지막  개월은   프로  차   프로  차로 나누어 마무리를 했어요   역시나 갓난아기 보면서 집중이 쉽지않아 동차는 무리였고요      년   회  차공부하여 도전해서 합격이라는 결과를 얻었습니다   사실 중도포기 하고싶기는 했어요 아기가 앉고 걷고 다리에 매달리면서 낮시간에는 사실 책볼시간이 없었구요 아기 낮잠자는 시간과 아기 재우고 그날그날 라이브수업 다시 듣기하고  따로 정리 하는 시간 해서  년간  새벽  시 이전에 자본적은 거의 없거든요    그래도 포기하고 싶은 마음들까봐 해커스 환급반 신청해서 시작했는데 아주 오기로 끝냈습니다      합격수기 이것저것 보는데 교수님들 언급을 다들 하시더라구요   저도 너무 하고싶었어요      저는 해커스라서  차는 개론 신관식교수님  민법 채희대교수님 강의 들었구요  차는 중개사법 황정선교수님  공법 한종민교수님  세법 강성규교수님   공시법 양기백교수님 강의로 공부했습니다   신관식 교수님이나 채희대 교수님은 설명이 너무 명확하고 깔끔해서 딱 제스타일이라 진짜  차 공부 재미있게 했어요   가끔 나오는 암기법과 계산법등이 너무 머리에 쏙쏙들어와서 외우지 않아도 자동계산됐구요 저는 암기보다 계산이 더 좋았어요   지금은 다른곳 옮기셨지만 채희대교수님은 워낙 민법 유명하셔서요 조근조근 말씀하시지만 설명이 지루하지않고 이해가 잘 가도록 쉽게 설명하셔서 집중하기 좋았어요   워낙쉽게 알려주셔서 저는 재미있었어요   저는  차과목은     년에 전과목쫙듣고     년에는 라이브방송기준 기본제외하고 심화부터해서 쭉 들었거든요   중개사법은 황정선 교수님만큼 딱 떨어지게 설명하시는분 없을듯하구요  진짜 말투도 재미있으시고 특히 판서   글씨 너무 잘쓰시고 필기할것도 딱딱 알려주시구요  외워야할것들있죠 암기코드도 적절해서 문제풀면서 암기코드가 슥슥 지나갔어요   공법은    하   진짜 너무 어렵잖아요  한종민 교수님 강의자체가 너무 재밌구요 툭툭 한마디씩 하시는 그 웃긴멘트가 중간중간 같이 기억나서 문제풀면서 피식 했던거 같애요   멘트가 생각나서요    사실   점   점 맨날 공법때문에 모의고사도 탈락했는데 그냥 믿고 계속 반복했더니 문제풀때 생각나고요 얼추 찍을때도 도움이 됩니다     세법은 좋아했는데요 강성규교수님 시험장에서도 본인 목소리가 귓가에 들릴꺼니까 걱정말라하셨는데 진짜 들립니다      년 들으시면 정말 귀에 들리는 그런 강의에요      공시법은 사실  저는  조금 고민이 많았어요  교수님 세분 스타일이 다 다르셨고 공법세법처럼 웃기거나 개론민법중개사법처럼 아예깔끔스타일이면 좋은데   그건 아니셔서요  그래서 세분계속 갈팡질팡갈팡질팡 라이브는 이분듣고 뭐  다시듣기는 저분듣고 모의고사 강의는 다른분 들어보고 그랬거든요    그러다가 어느날 다시한번 한분께 정착하자 하고 모의고사 해설강의를 듣는데 아 이거다 아주 심플한 스타일 양기백교수님을 만난거죠     그래서 그때부터   거의     년  월   다시 특강과 심화과정 등등을 쫙 들으면서 늦게 정착했습니다  필요없는거 쭉쭉 넘어가시구요   진짜 외워야하는것만 쏙쏙 암기코드도 간단 그자체 학교길물 여서 도움많이 받았답니다     길었네요 하 진짜  년동안 애기보고 살림하고 공부 병행하면서 쉽지는 않았어요   새벽 시전에 거의 못자기도 했구요       년에는 아기가 껌딱지스타일이라 종일 놀아주고 밤에만 공부하기도 했구요    그런데 교수님들이 하나같이 하시는 말씀은 포기만 안하면된다 하시더라구요 모의고사로 합격받은것도  사실 몇회안되요  회분정도  하지만 불합격뜰때마다 틀린것 해설강의로 체크체크해서 복습 하는데 너무 많이 틀려서 진짜진짜 속 많이 상했고 불안했는데  교수님들은  년간 용기 많이 주셔서 너무 감사했어요 제가 있는지 모르시겠지만요     올해 솔직히 못보던 내용들도 시험에 많이 나왔구요 어려웠거든요 앞으로도 더 어려워진다하구요  그래도 시작하신분들  포기만 안하시면 된다고 믿습니다  자격증시험이니까 백점 필요없대요  모의고사 기출문제 위주 계속 점검하시고 부족한부분    선과 동형모의고사 수업으로 체크하시면서  버릴것 버리고 챙길것 챙겨서 다들 좋은 결과 있으시길 바랄게요   주저리주저리 제가 이야기가 많았네요  이제 아기 어린이집 보내기 시작하면 또다른 공부를 해야하나 고민중입니다 아직은 전업주부라서요   몇년후 실무에 나갈때 어디서든 인연으로 만나길 바랄게요  모두들화이팅하세요,real estate agent
아직 발표가 되진 않았지만 가채점 평균이   점 가까이 나와 합격을 예상하며 후기를 씁니다  저는 퇴사하면서  월부터 인강을 들으면서 준비했어요워낙 실력있는 교수님들이라 각자의 장점이 뚜렷하시더라구요아무래도 시간적 여유가 있다보니 맛보기 식으로 강의를 들어보고 저에게 맞다고 생각되는 교수님들의 강의를 반복해서 들으면서 시험과 친해졌습니다학개론은 강양구 신관식 교수님 민법은 민희열 채희대 교수님 공법은 한종민 김용철 교수님중개사법은 정지웅 교수님공시법은 양기백 교수님세법은 전훈 교수님 공법에 특히 많은 시간을 투자했음에도 유독 어렵게 느껴져서 과락만 면하고 중개사법에서 점수를 메꾸자 했는데 결과는 대성공 공법도     점으로 충분한 점수를 획득했고 중개사법은     점으로 안정적인 합격권에 안착 정지웅 교수님 말씀처럼 시험장에서 노래를 부르니 답이 뚝딱이네요  해커스와 함께 도전해보세요  ,real estate agent
안녕하세요    회  차    회  차 합격 수기 입니다   더 나이들기 전에 자격증을 취득해보자는 마음으로 알아보던중  지인의 권유로 처음 공부를 시작하게 되었습니다   수강료      환급과 가장 많은 합격생 배출 이라는 문구가 마음에 들어 해커스로 시작하게 되었는데 왜      환급해주는지 나중에 알았네요    결코 만만치 않은 시험이라는걸 공부 시작하고 알게되었습니다     처음에는 동차로 도전했는데 도저히 공부할 자신도 없고 먼저 합격한 지인이 확실히 합격하려면  차  차 나눠서 공부하는게 낫다고 해서 작년과 올해 나눠서 공부 했습니다    차때는 일주일에  일씩  과목씩 나눠서 공부했습니다   과목뿐이라 매일 매일  과목씩 인강듣고 책으로 복습하고  시간 이상은 공부했습니다  주말 하루는 그 주에 공부한 내용 중 이해가 안되거나 일주일 배운거를 책으로 한번 더 보는 방법으로 했습니다   과목이라서 가능했던거 같습니다    차는  차 보다 과목수도 많고 외워야 할 내용도 많아 책으로 읽어도 이해 되지 않는 부분이 훨씬 많더라구요   차는 수업을 듣고 책으로 보면 이해 되는 부분이  차는 일단 외워야만 지문이라도 읽을수 있다   라는 문제가  많아서 훨씬 어려웠습니다   그래도 인강은 모두 듣고 책은  회독 이상은 하자 라는 생각으로 공부했습니다  과목 별로 입문  기본  심화  동형     선 강의 하나도 빼놓지 않고 인강 듣고 책도 입문서  기본서  요약집  회 이상은 처음부터 끝까지 다 읽어봤습니다  추가로 다른 교재를 보거나 하지는 않고 기본 교재로만 반복하였습니다   무슨 말인지 전혀 이해가 되지 않던 부분도  월이 되니 어느정도 이해가 가능해졌고 자연스럽게 외워지는 부분이 생기더군요   기출은 책에 있는 작년 기출과 재작년 기출만 풀어봤습니다  대신 모의고사는 빼놓지 않고 풀었습니다   점수에 좌절하기도 했지만 시험 시간안에 모든 문제를 읽어서 풀어본다는 마음으로 꾸준히 모의고사를 봤더니 실제 시험에서도 시간이 모잘라서 보지 못하거나 하는 문제는 없었습니다   그 결과 작년  차 학개론은   점  민법은     점 올해  차 중개사법       공법     공시법   점으로 합격점수 받았습니다    년 수험 생활 동안 지치기도 하고 힘들었지만 합격점수 받으니 모두 보상받은거 같네요   최선을 다해 강의 해주시는 교수님들을 믿고 열심히 따라갈려고 노력했던 나 자신을 믿은 결과라고 생각합니다   내년에는 올해의 저 보다 더 열심히 공부하시는 많은 수험생분들의 합격을 진심으로 기원하겠습니다   합격 할수 있게 도와주신 교수님들 모두 감사드립니다 ,real estate agent
작년에  차만 접수하고 강양구교수님 민희열 교수님 강의듣고 합격했으며 이번에  차 가채점상 평균   점으로 무난히 합격할거 같아요  차 교수님중 서울대 출신답게 명품 공법 문제풀이를 해주신 한종민 교수님 덕분에 공법   점을 맞았어요 감사해요 그리고 열성을 다해 강의해주신 황정선 교수님께도 너무 감사드리고 또 김의열교수님은 문제풀이에대한 질문을 했을때 어떻게보면 답답해보일수있는 질문에도 심쿵할정도로 성심성의것 설명해주시며 따뜻하게 합격할것같다는 기운이 느껴진다는 답변에 너무감동했어요  또 어려운 세법을 쉽게 설명해주신 전훈교수님께도 너무 감사드립니다   ,real estate agent
주변 지인이 합격했다길래 나도 해볼까하는 맘에 상담받고 고민하다 인강신청하고 준비시작했어요   월부터 시작해서 첨엔 동차로 준비했는데 제가 오전에는 프리랜서로 일을하고 준비하려니 힘들더라구요 맘만급해지구  그래서 작년에  차만 준비하고 올해  차준비해서 합격했습니다 정말 평상시 사용하는 말들도 아니고 사용하던 말이라도 사용할때의 뜻과 공부할때 뜻이 달라서 첨엔 어리둥절    교수님들이 그냥 스치듯이라도 수업을 착실히 듣다보면된다하셨는데 정말 그 말씀이 딱 맞아요  저도 수업들으면서 졸기도하고 힘들어서 따로 공부를 많이 하지않았음에도 합격할수있었던건 교수님들 말씀대로 따랐기때문인거같아요힘들기도했는데 시간이 빨리 갔던거같아요내년 준비하시는 분들 모두 화이팅하시고 과묙별 교수님말씀대로 하시면 무리없이 합격증받으실수있어요중간에 힘들어도 포기하지마시고마음한번 내려놓고 준비하시면 또 그렇게 넘기면되실꺼예요 ,real estate agent
공인중개사 시험은  개로 구성   부동산학개론   민법   공인중개사법   공법   공시법 세법  총  과목을  개 시험으로 해서 과락    점 미만 없이 평균   점을 넘으면 합격  시험이  년  회씩 시행 중  차는 부동산학개론  민법  차는 공인중개사법  공법  공시법 세법 각 차수별로 별도로 계산  차는  차끼리   차는  차끼리     학개론   점  민법   점    차 합격 중개사법   점  공법   점  공시법 세법  점     차 불합격  차의 남는 점수는  차에 더해 줄 수 없음  차 합격시 다음 회차에  차 없이  차 응시 가능 동차 합격이란    차를 동시에 합격하는 경우 공부를 하면 알겠지만 생각보다 시간이 오래 걸리고 어렵다  나 같은 경우는 직장을 다니면서     년  월 말부터 인강을 수강 하면서 공부 시작  주어진 시간이 출퇴근 시간과 저녁자투리 시간 갖고는 강의만 들어도 시간이 부족했다     월 심화과정부터는 인강만 갖고는 이해도 잘 안됨  책보는 시간이 없는 사람으로서 도저히 안되겠다 싶어 동차 포기  차 강의만 수강 확실히 시간적으로 여유가 생김  같은 강의를 반복적으로 들을 수 있는 여유가 생기기 시작   년  차 합격 평균   점    년  차는 혹시나 로또 처럼 찍어 합격 할수도    시험만 봄 평균   점  공법   점      그래도 생각보다 잘 봤다    년  차 중개사법      공법      공시법 세법   점  공법이야 원래 어려우니 할 말이 없지만  그래도 선방 했다  모의고사 보면 항상 과락 이였는데 본시험에서 빛을 봤다  한종민 교수님 감사합니다 공시법이랑 세법은 평소 보던 문제랑 좀 다르게 나와서 많이 어렵게 느껴졌고  역시나 점수가      인강은 해커스 공인중개사로 공부  검색시 해커스가 합격자가 가장 많이 나오는 듯하여 해커스로 선정 교수님 선택 강의를 다 들어 볼 수도 없고  찾기도 귀찮 비교하기도 귀찮       그냥 가장 인기 있는 교수님들 선택 맨 위 배너에 똭 하니 나오니 보고 그대로 선택하면 됨  부동산학개론 신관식 교수님  재밌다  이해하기 쉽다  민법 채희대 교수님   법 어렵다  하지만 강의는 재밌다  이해하기 쉽게 설명 해 주려는 것이 좋다  공인중개사법 황정선 교수님  처음은 별로인거 같은데 듣다 보면  잘 가르친다  요약이 좋다  고수다  공법 한종민 교수님  겁나 어렵다  외워지지도 않는다  과락 나올까 무섭지만     그냥 계속 듣자  공시법 홍승한 교수님  재밌다  구수하다  세법 강성규 교수님  강의시작시 리마인드  강의 종료시 리마인드  암기법 이상하게 기억에 남는다    차는 암기할 사항이 많은 듯 하다  특히 공법은     평생 수강반으로 신청했는데  첫 회는 기출 특강이 무료였는데  차수 넘어가면서 기출은 빠진다           만점 받으려는 생각으로 하면 너무 힘든 공부가 될테고   점 받겠다는 생각으로 하면 공부가 한결 수월하니  부담감을 내려 놓고 공부하면 좋다      년차에 강의를 계속 들었다면 동차도 가능하지 않았을까 하는 생각이 들기도      직장에 치이고  첫째가   개월 이전에는 눕혀 놓고 강의 보기가 가능 했으나   개월 정도 지나면서 부터는 도저히 책을 보기가 어려움      아기가 잘 때 하거나 만화 틀어주고 나는 인강을 보거나      째는 올해  월   일 출산하면서 출산휴가로 나에게 막판 스퍼트의 기회를 만들어줌  와이프에게는 미안하지만 산후조리원은 많이 가지 못하였음     둘째 우유 먹이면서 인강 많이 들었습니다     선  예상문제 특강  회독 이상 시험전  개월이 가장 중요한 시간이지만  직장인   아빠는 이런게 쉽지 않은터라 인강 계속 들으면서 감 유지가 중요      주일만 쉬어도 휘리릭   중도에 포기 하지 마시고 문제 많이 풀고 틀리는 부분 집중 암기하고  버릴건 과감히 버리고 하면서 하는게 정신건강에 이롭고 좋습니다  모두 힘내서 합격하세요 ,real estate agent
이런걸 쓰는늘이 오네요     살 아기엄마라 어린이집 간 시간과 밤에 몇시간 공부할수있었는데   올해  월부터 제대로 공부 시작한듯한데 결실이 있어 감사합니다   해커스 강의는 꾸역꾸역 미루지않고 보통속도는 늦어서 좀 빠르게 해서 들었고  익숙해지고도  배속 틀어놓고 빨리 훑어보는 식으로 공부했어요  아무래도 육아때문에 시간이 없어 잊어버리면 반복하는 식으로요  공법은 정말 자신없어 체계도로만 반복해도 머리에 남는게 있나 싶었지만  눈에 익숙한 지문이 맞나 틀리나만 봤는데   점을 받아서 제일 기쁘네요   차는 공부 어느 정도 했다면 합격할수있는 정도였고   차는 중개사법 하도 꼬아있는 문제를 연습하다보니 오히려 괜찮았는데  공시법과 세법은  특히 세법은 익숙하지 않은 지문 내용이 많아서 자신없었는데   점대가 나왔네요   아기엄마라 시간없어 푸념하니 남편이 일하면서도 할수있는 시험이라고 멘탈을 강하게 해준듯합니다   보통 고시보다는 반복에 비밀이 있는 시험같고  시간적 제약이 있는 분들도 멘탈을 강하게 하면 통과할수있는 시험같아요  포기하지 않으면 결실이 있는 것 같습니다  화이팅입니다    민법 채희대 학개론 강양구 공법 한종민 중개사법 한민우 공시법 양기백 세법 강성규,real estate agent
무엇보다 해커스 교수님들께 감사드립니다   아무것도 모르고 그저 강의만 의지했을 뿐인데 합격이라니요     저는 작년 동차를 목표로 처음 공부를 시작하였는데  전업학생이 아니다 보니  주  일 강의만 듣는 것도 만만치 않았습니다  그래서  월부터  차만 준비하되 스트레스 받지않고  널널히 공부를 하기로  마음먹었고 정말 강의만 듣고  차는 민법       부동산학개론     를 받으면서 가뿐히 합격선을 넘었습니다   올해   차는 과목수도 많고 무엇보다 공법의 방대한 양에 대해 익히 들었던바  공법은 과락 면하는것을 목표로 하되 대신 중개사법을   점 목표로 임했습니다    월까지는 강의 중심으로 내용에 대해 이해를 하는데 중점을 두었고  월 핵심과정부터 강의와 문제풀이를 병행하기 시작했습니다   저 같은 경우는 작년에  차 문제풀이 교재를 미리 받았기 때문에 문제풀이를 병행할 수 있어서 도움이 되었고  만약 교재가 없으시다면 기출문제집을 풀어보시는 것을 추천드립니다  충분히 강의내용을 숙지하였다고 생각했어도 막상 문제를 풀어보면 맨붕이 오는데 절대 좌절하시면 안됩니다   그런 맨붕은 여러 차례 올 것이고 누구나 그럴것이라 생각합니다   그런 과정을 통해 약한 부분을 알게되고 반복해서 암기하다 보면 슬슬 자신감이 붙게 되고 희미하게 합격의 예감이 들기 시작하실 겁니다     물론 시험에는 변수도 많고 저는 막판에 기침감기에 걸려 다른 학생들에게 방해가 될까봐  교시는 혼자 복도에서 시험을 치루는 등 우여곡절이 많았으나 공법   점  중개사법   점  등기법세법     점으로 합격이 예상되고 있습니다  고득점은 아니지만 해커스 교수님들의 강의를 들으면서 성실히 공부하신다면 충분히 합격하시리라 생각됩니다     한가지 당부말씀은 시험장에서 종료벨이 울리면 반드시 시험지에서 손을 떼셔야 합니다   저 같은 경우 기침이 심해서 자리배정 때문에 쉬는 시간에 시험본부에 갔다가 종료벨 울린후 답안을 체크한 수험생이 울면서 거의 쫓겨나는 것을 목격했습니다   시험감독관들은 절대 인정사정 없습니다   모든 분들 노력이 헛되이 되지 않도록 마지막까지 컨디션 조절 잘 하시면서 합격의 기쁨을 누리시길 바랍니다 ,real estate agent
 년을 마무리하면서 노력하면 되는 시험입니다  물론 제대로 치열하게 준비하여야지요  제가 해커스와 작업을 한 것은  띄우는 모든 강의를 들었습니다  특강 모의고사해설강의까지    재미있는 것은 간접적으로 모든 교수님을  뵙게되었지요  가장 기억에 남는 수업은 공법이었습니다  한교수님 수업을 들었는데    페이지를   페이지로 축약하는 실력은  감탄스러웠습니다  다른 과목은 흐름이 보였는데 공법만큼은 끝까지 힘들었어요  그래서 더 많이 감사드립니다  해커스의 보물이시죠 한종민교수님  다른 모든 교수님께도 노고에 감사드립니다 ,real estate agent
